n_processo;assunto;status;data_deferimento;tipo_de_localizacao;localizacao;endereco;cep;distrito;subprefeitura;categoria_uso;numero_documento;certf_conclusao_tipo;area_objeto_certf_concl
1020.2022/0008083-1;Certificado de Conclusão;deferido;14/12/2022 20:11:43;SQL;067.108.0030-1;RUA FILADELFO GOUVEIA NETO, 92, 94, VILA CONSTANÇA;02256090;VILA CONSTANÇA;;HIS;13231-22-SP-CCE;Totalmente;943.6
1020.2022/0008338-5;Certificado de Conclusão;deferido;14/07/2022 11:51:17;SQL;072.065.0197-4;RUA SANTO EGIDIO, 323, CHORA MENINO;02461010;CHORA MENINO;;HIS;13388-22-SP-CCE;Totalmente;649.55
1020.2022/0008749-6;Certificado de Conclusão;deferido;26/05/2022 10:03:37;SQL;105.039.0025-6;RUA HORACIO ROMEU, 252, JARDIM MARISTELA;05159300;JARDIM MARISTELA;;R2h, R2h-1;13431-22-SP-CCE;Totalmente;187.02
1020.2022/0008524-8;Certificado de Conclusão;deferido;18/10/2022 15:46:55;SQL;060.169.0003-6;RUA DONA VICENTINA ALEGRETTI , 41, PENHA;03610030;PENHA;;HIS;13465-22-SP-CCE;Totalmente;697.13
1020.2022/0008523-0;Certificado de Conclusão;deferido;24/10/2022 17:33:48;SQL;110.342.0016-9;RUA PINHEIRO DE ULHOA CINTRA , 325, JARDIM POPULAR ;03673000;JARDIM POPULAR ;;HMP;13488-22-SP-CCE;Totalmente;279.65
1020.2022/0008968-5;Certificado de Conclusão;deferido;15/07/2022 15:08:32;SQL;058.177.0057-3;RUA ITUETA, 24, CIDADE PATRIARCA;03544030;CIDADE PATRIARCA;;HIS;13567-22-SP-CCE;Totalmente;274.24
1020.2022/0009119-1;Certificado de Conclusão;deferido;01/09/2022 12:35:16;SQL;162.079.0024-2;Rua Francisco Credentino, 104, Jardim Satelite;04815040;Jardim Satelite;;R2h, R2h-1;13709-22-SP-CCE;Totalmente;235.08
1020.2022/0009206-6;Certificado de Conclusão;deferido;27/07/2022 17:28:19;SQL;152.116.0077-1;Rua Manuel Quirino de Mattos , 1809, jardim sapopemba;03969000;jardim sapopemba;;R2h, R2h-1;13746-22-SP-CCE;Totalmente;381.41
1020.2022/0009949-4;Certificado de Conclusão;deferido;11/01/2023 18:56:35;SQL;058.203.0024-6;AV DR  IVAN MAIA DE VASCONCELOS, 20, JARDIM TRIANA;03552130;PE - PENHA;;HIS;13798-22-SP-CCE;Totalmente;511.12
1020.2022/0009058-6;Certificado de Conclusão;deferido;17/11/2022 20:08:52;SQL;044.108.0045-0;R   MANAIAS, 105, PARQUE DA VILA PRUDENTE;03140040;VP - VILA PRUDENTE;;HIS;13807-22-SP-CCE;Totalmente;572.1
1020.2022/0009222-8;Certificado de Conclusão;deferido;07/11/2022 20:34:53;SQL;118.287.0003-6;r. dr. sales gomes junior, 308, VILA PRUDENTE;03264030;VILA PRUDENTE;;HIS;13846-22-SP-CCE;Totalmente;630.13
1020.2022/0009228-7;Certificado de Conclusão;deferido;12/12/2022 19:38:41;SQL;102.032.0014-3;R   BUENOPOLIS, 331, BAIRRO ÁGUA RASA;03161010;MO - MOOCA;;HIS;13893-22-SP-CCE;Totalmente;262.6
1020.2022/0009481-6;Certificado de Conclusão;deferido;10/10/2022 20:40:39;SQL;067.416.0018-3;avenida Francisco Rodrigues, 626;02259001;Jaçanã;;HIS;13947-22-SP-CCE;Totalmente;481.11
1020.2022/0009700-9;Certificado de Conclusão;deferido;03/08/2022 12:49:32;SQL;071.275.0015-0;rua amelia almeida lucas, 64, nº. 60 , nº. 68, jd imirim;02472170;jd imirim;;R2h, R2h-1;14060-22-SP-CCE;Totalmente;383.7
1020.2022/0009540-5;Certificado de Conclusão;deferido;24/06/2022 13:36:13;SQL;113.152.0010-3;rua fernandes pereira, 306, vila santa teresa;03565000;vila santa teresa;;HIS;14177-22-SP-CCE;Totalmente;1563.88
1020.2022/0010160-0;Certificado de Conclusão;deferido;27/06/2022 14:41:44;SQL;306.003.0043-6;Rua Bernardino de Sena, 104, Vila Ester;02452050;Vila Ester;;R2h, R2h-1;14324-22-SP-CCE;Totalmente;314.4
1020.2022/0009862-5;Certificado de Conclusão;deferido;26/01/2023 18:41:37;SQL;115.111.0084-1;R ENG  ROMEU BELLUOMINI, 309, JD HELENA;08420270;IQ - ITAQUERA;;HIS;14343-22-SP-CCE;Totalmente;725.31
1020.2022/0010300-9;Certificado de Conclusão;deferido;16/08/2022 16:41:39;SQL;146.013.0006-0;Rua Canhamo do Canada, 220, 224 e 228 ( numeração concedida), Jardim Fernandades;03580010;Jardim Fernandades;;R2h, R2h-1;14410-22-SP-CCE;Totalmente;272.08
1020.2022/0010033-6;Certificado de Conclusão;deferido;13/01/2023 12:36:39;SQL;067.107.0014-3;R   JOAO DE LEDESMA, 177, Vila Constança;02271090;ST - SANTANA-TUCURUVI;;HIS;14422-22-SP-CCE;Totalmente;935.08
1020.2022/0010309-2;Certificado de Conclusão;deferido;09/08/2022 12:17:17;SQL, SQL, SQL;058.020.0052-1, 058.020.0059-7, 058.020.0060-0;Rua 19 de Maio, 50, Penha de França, Rua 19 de Maio, 40, Penha de França, Rua 19 de Maio, 34, Penha de França;03648080, 03648080, 03648080;Penha de França, Penha de França, Penha de França;;R2h, R2h-1;14487-22-SP-CCE;Totalmente;801.85
1020.2022/0010306-8;Certificado de Conclusão;deferido;15/06/2022 11:41:17;SQL;152.106.0022-9;rua benedito rosa, 81, jd sapopemba;03975060;jd sapopemba;;R2h, R2h-1;14502-22-SP-CCE;Totalmente;241.72
1020.2022/0010419-6;Certificado de Conclusão;deferido;22/06/2022 13:11:55;SQL;090.136.0014-1;RUA UNA DO PRELADO , 296, CHACARA CAMPO GRANDE;04691090;CHACARA CAMPO GRANDE;;R2h, R2h-1;14516-22-SP-CCE;Totalmente;336
1020.2022/0010491-9;Certificado de Conclusão;deferido;12/05/2023 16:55:45;SQL;083.095.0041-6;Av. Dra Ruth Cardoso, 6941, Pinheiros ;05477000;Pinheiros ;;nR2, nR2-7;14532-22-SP-CCE;Totalmente;2.08
1020.2022/0010503-6;Certificado de Conclusão;deferido;25/07/2022 16:06:32;SQL, SQL, SQL, SQL;089.080.0010-0, 089.080.0011-9, 089.080.0012-7, 089.080.0009-7;RUA PALESTINA, 171, VILA MASCOTE, RUA PALESTINA, 157, VILA MASCOTE, RUA PALESTINA, 147, VILA MASCOTE, RUA PALACETE DAS ÁGUIAS, 829, VILA MASCOTE;04362030, 04362030, 04362030, 04635023;VILA MASCOTE, VILA MASCOTE, VILA MASCOTE, VILA MASCOTE;;nR2, nR2-3;14573-22-SP-CCE;Totalmente;2876.59
1020.2022/0010666-0;Certificado de Conclusão;deferido;12/07/2022 09:46:12;SQL, SQL, SQL, SQL, SQL, SQL;143.087.0004-2, 143.087.0012-3, 143.087.0003-4, 143.087.0005-0, 143.087.0006-9, 143.087.0007-7;AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA;08295015, 08295015, 08295015, 08295015, 08295015, 08295015;ITAQUERA, ITAQUERA, ITAQUERA, ITAQUERA, ITAQUERA, ITAQUERA;;nR3, nR3-6;14649-22-SP-CCE;Totalmente;44980.27
1020.2022/0010597-4;Certificado de Conclusão;deferido;09/11/2022 13:51:55;SQL;055.393.0012-2;R  DO CORREGO, 83, VILA CARRAO;03421020;AR - ARICANDUVA;;HIS;14824-22-SP-CCE;Totalmente;463.35
1020.2022/0010803-5;Certificado de Conclusão;deferido;27/10/2022 14:30:54;SQL;058.023.0024-8;RUA OTILIA, 720, VILA MATILDE;03649000;VILA MATILDE;;HMP;14940-22-SP-CCE;Totalmente;759.64
1020.2022/0011056-0;Certificado de Conclusão;deferido;13/01/2023 12:34:56;SQL;066.320.0019-3;R   ASTECAS, 110, Jardim Modelo;02262040;JT - JACANA-TREMEMBE;;HIS;14945-22-SP-CCE;Totalmente;485.97
1020.2022/0010795-0;Certificado de Conclusão;deferido;24/06/2022 13:35:04;SQL;065.034.0018-7;RUA LUIS PEDROSO, 142, JARDIM JAPÃO;02132110;JARDIM JAPÃO;;HIS;15013-22-SP-CCE;Totalmente;1113.26
1020.2022/0011801-4;Certificado de Conclusão;deferido;06/03/2023 13:42:32;SQL, SQL, SQL;169.225.0054-6, 169.225.0002-3, 169.225.0001-5;RUA OLAVO LEITE, 140, VILA ANDRADE, RUA OLAVO LEITE, 140, VILA ANDRADE, RUA OLAVO LEITE, 140, VILA ANDRADE;05718320, 05718320, 05718320;VILA ANDRADE, VILA ANDRADE, VILA ANDRADE;;nR2, nR2-6;15073-22-SP-CCE;Totalmente;650.69
1020.2022/0011214-8;Certificado de Conclusão;deferido;06/04/2023 15:12:59;SQL;030.058.0013-1;RUA BOM SUCESSO, S/N, TATUAPE;03305000;TATUAPE;;nR1, nR1-3;15138-22-SP-CCE;Totalmente;642.06
1020.2022/0011420-5;Certificado de Conclusão;deferido;06/10/2022 12:20:38;SQL;055.050.0027-4;Rua Rogério Giorgi, 1229, 1237, Vila Carrão;09070250;Vila Carrão;;R2h, R2h-1;15191-22-SP-CCE;Totalmente;310.97
1020.2022/0011732-8;Certificado de Conclusão;deferido;25/08/2022 11:42:21;SQL, SQL;054.101.0034-4, 054.101.0020-4;RUA MONTE SERRAT, S/N, TATUAPÉ, RUA MONTE SERRAT, 1500, TATUAPÉ;03312001, 03312001;TATUAPÉ, TATUAPÉ;;nR2, nR2-3;15207-22-SP-CCE;Totalmente;525.76
1020.2022/0011143-5;Certificado de Conclusão;deferido;12/08/2022 11:11:02;SQL, SQL;111.448.0026-8, 111.448.0027-6;Rua Terra Branca, 44, Ermelino Matarazzo, Rua Terra Branca, 52, Ermelino Matarazzo;03808160, 03808160;Ermelino Matarazzo, Ermelino Matarazzo;;HMP;15225-22-SP-CCE;Totalmente;1246.02
1020.2022/0011239-3;Certificado de Conclusão;deferido;08/09/2022 13:00:44;SQL;067.086.0054-4;RUA ALVARES AFONSO, 511, PARQUE VITORIA;02268060;PARQUE VITORIA;;HIS;15335-22-SP-CCE;Totalmente;817.65
1020.2022/0011527-9;Certificado de Conclusão;deferido;08/09/2022 12:30:31;SQL;113.523.0018-3;RUA JOSE TEIXEIRA DA SILVA , 177, VILA SANTA LUZIA ;03694140;VILA SANTA LUZIA ;;R2h, R2h-1;15340-22-SP-CCE;Totalmente;230.22
1020.2022/0011523-6;Certificado de Conclusão;deferido;03/08/2022 14:49:56;SQL;120.128.0007-5;Rua Geraldo Martins Santana, S/N, Jardim Cupecê;04658280;Jardim Cupecê;;R2h, R2h-1;15356-22-SP-CCE;Totalmente;323.02
1020.2022/0011240-7;Certificado de Conclusão;deferido;18/01/2023 15:40:03;SQL;067.190.0024-1;AV MAEST  VILLA-LOBOS, 409, PARQUE VITÓRIA;02266000;ST - SANTANA-TUCURUVI;;HIS, HMP;15361-22-SP-CCE;Totalmente;547.03
1020.2022/0011332-2;Certificado de Conclusão;deferido;31/08/2022 17:29:43;SQL;049.440.0028-3;RUA PADRE MÁRIO FERNANDEZ 47, 47, VILA MORAES ;04170010;VILA MORAES ;;HIS;15397-22-SP-CCE;Totalmente;501.7
1020.2022/0011493-0;Certificado de Conclusão;deferido;22/12/2022 18:00:50;SQL;067.298.0027-5;R ROQUE DE PAULA MONTEIRO,  31 , 31 FDS, JAÇANÃ;02272000;JAÇANÃ;;HIS;15539-22-SP-CCE;Totalmente;1288.5
1020.2022/0011441-8;Certificado de Conclusão;deferido;27/10/2022 16:26:41;SQL;199.016.0010-2;Rua Urbano da Silva, 34, Vila santa Edwiges;05115050;Vila santa Edwiges;;HIS;15554-22-SP-CCE;Totalmente;1380.73
1020.2022/0012386-7;Certificado de Conclusão;deferido;13/10/2022 11:16:23;SQL;049.074.0028-4;RUA VITOR EMANUEL, 130, JARDIM VERGUEIRO;04174000;JARDIM VERGUEIRO;;R2h, R2h-1;15577-22-SP-CCE;Totalmente;231.32
1020.2022/0011841-3;Certificado de Conclusão;deferido;06/09/2022 19:07:58;SQL;078.184.0051-6;RUA SOLDADO JOÃO DE OLIVEIRA, 373, PIRITUBA;02840090;PIRITUBA;;R2h, R2h-1;15606-22-SP-CCE;Totalmente;504.19
1020.2022/0011687-9;Certificado de Conclusão;deferido;17/01/2023 12:53:55;SQL;142.151.0005-3;R   GUAPIRONGA, 250, CIDADE A.E, CARVALHO ;08220290;IQ - ITAQUERA;;HIS;15714-22-SP-CCE;Totalmente;789.27
1020.2022/0013074-0;Certificado de Conclusão;deferido;26/08/2022 13:38:48;SQL;118.335.0009-0;RUA JOANIDIA SODRE, 261, JARDIM INDEPENDENCIA;03222110;JARDIM INDEPENDENCIA;;R2h, R2h-1;15725-22-SP-CCE;Totalmente;361.13
1020.2022/0012330-1;Certificado de Conclusão;deferido;02/08/2022 14:35:49;SQL;036.010.0297-7;AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE, 711 E 731 / SN E 157;04507000;JD PAULISTA;;nR3, nR3-9;16020-22-SP-CCE;Totalmente;9380.33
