n_processo;assunto;status;data_deferimento;tipo_de_localizacao;localizacao;endereco;cep;categoria_uso;numero_documento;certf_conclusao_tipo;area_objeto_certf_concl
1020.2022/0000722-0;Certificado de Conclusão;deferido;03/07/2023 19:00:04;SQL;055.351.0107-9;R   JERICINO, 497, Parte do Lote 861A da Quadra 47, VL. NOVA MANCHESTER;03442000;HIS;10212-22-SP-CCE;Totalmente;461.39
1020.2022/0001548-7;Certificado de Conclusão;deferido;25/05/2022 17:25:43;SQL;061.028.0057-5;Rua Paracanã, 34, Jardim Concórdia ;03637030;HIS;10666-22-SP-CCE;Totalmente;1213.21
1020.2022/0001868-0;Certificado de Conclusão;deferido;19/04/2022 12:33:15;SQL;069.067.0053-7;RUA TOMÉ PORTES, 12.3;02241010;HIS;10885-22-SP-CCE;Totalmente;1101.36
1020.2022/0002132-0;Certificado de Conclusão;deferido;07/04/2022 14:54:39;SQL;078.171.0047-0;Rua Professor Jose Nicolau Piragine , 67, Chácara inglesa;05140080;R2h, R2h-1;10891-22-SP-CCE;Totalmente;230.92
1020.2022/0007079-8;Certificado de Conclusão;deferido;11/05/2022 12:44:02;SQL;118.242.0005-5;RUA ABAIU ESQUINA COM A RUA IELMO MARINHO, 29,37 E 41, Vila Macedopolis;03237040;R2h, R2h-1;11159-22-SP-CCE;Totalmente;218.05
1020.2022/0002949-6;Certificado de Conclusão;deferido;19/01/2023 16:32:39;SQL;062.118.0018-5;GOVERNADOR MENEZES, 62, 0, TATUAPE;03085005;HIS;11315-22-SP-CCE;Totalmente;319.8
1020.2022/0002860-0;Certificado de Conclusão;deferido;02/06/2022 19:14:45;SQL;067.106.0034-3;RUA SILVERIO NERI, 55, STA TEREZINHA;02271030;HIS;11367-22-SP-CCE;Totalmente;762.22
1020.2022/0002856-2;Certificado de Conclusão;deferido;02/06/2022 19:12:35;SQL;150.273.0022-1;Rua João Batista Bianchi, 421, Vila Flavia;03966010;HIS;11397-22-SP-CCE;Totalmente;442.77
1020.2022/0002859-7;Certificado de Conclusão;deferido;06/05/2022 15:21:19;SQL;067.227.0040-2;Rua Dragões da Independência, 7;02253000;;11429-22-SP-CCE;Totalmente;
1020.2022/0002934-8;Certificado de Conclusão;deferido;08/04/2022 11:25:14;SQL;062.114.0024-1;Rua Tuiuti, 7;03081015;HIS;11481-22-SP-CCE;Totalmente;515.92
1020.2022/0002932-1;Certificado de Conclusão;deferido;22/09/2023 11:20:44;SQL;046.106.0048-1;RUA IBIRAREMA, 270, CURSINO;04136000;HIS, nR1, nR1-3;11482-22-SP-CCE;Totalmente;515.67
1020.2022/0002933-0;Certificado de Conclusão;deferido;28/04/2022 16:20:27;SQL;052.041.0010-5;AVENIDA SAPOPEMBA, 7.35;03345000;HIS;11493-22-SP-CCE;Totalmente;597.14
1020.2022/0002942-9;Certificado de Conclusão;deferido;19/06/2022 12:42:21;SQL;069.078.0038-1;RUA SARGENTO MÓR RAMALHO, 25.5;02241060;HIS;11525-22-SP-CCE;Totalmente;734.61
1020.2022/0003267-5;Certificado de Conclusão;deferido;23/05/2022 15:38:50;SQL;115.211.0068-2;RUA CORONEL MANUEL MACHADO, 196, GUAIANASES;08411145;R2h, R2h-3;11526-22-SP-CCE;Totalmente;732.36
1020.2022/0003351-5;Certificado de Conclusão;deferido;29/03/2022 16:19:33;SQL;090.139.0003-8;RUA TONINHAS , 403, CHACARA CAMPO GRANDE;04691040;R2h, R2h-1;11531-22-SP-CCE;Totalmente;339.5
1020.2022/0003679-4;Certificado de Conclusão;deferido;09/05/2022 14:53:46;SQL;152.353.0009-1;Rua Francisco A. De Barros, 123,127 ,129, Parque São Rafael;08320270;R2h, R2h-1;11625-22-SP-CCE;Totalmente;269.39
1020.2022/0003555-0;Certificado de Conclusão;deferido;27/06/2022 14:42:30;SQL;068.060.0013-4;RUA MALIE BRENNER, 477, TUCURUVI;02243020;;11654-22-SP-CCE;Totalmente;
1020.2022/0003791-0;Certificado de Conclusão;deferido;29/04/2022 13:52:30;SQL;152.143.0009-2;RUA CACHOEIRA DE MINAS, 61, LT.9 QD.29, JARDIM SANTA ADELIA;03973050;R2h, R2h-3;11687-22-SP-CCE;Totalmente;245.82
1020.2022/0004113-5;Certificado de Conclusão;deferido;20/05/2022 15:02:25;SQL;067.365.0009-5;RUA ALBERTO D'AVERSA, 144, JAÇANÃ;02272090;HIS;11776-22-SP-CCE;Totalmente;698.31
1020.2022/0004283-2;Certificado de Conclusão;deferido;12/04/2022 19:36:46;SQL;107.462.0006-3;Rua Marcelino Simões, 124, Vila Cruz das Almas;02804000;;12019-22-SP-CCE;Totalmente;
1020.2022/0006529-8;Certificado de Conclusão;deferido;02/06/2022 18:13:52;SQL;042.201.0016-4;Rua Leandro Dupret, 636;04025021;R2v, R2v-1;12290-22-SP-CCE;Totalmente;387.19
1020.2022/0005994-8;Certificado de Conclusão;deferido;20/04/2022 16:52:24;SQL;072.030.0007-9;Rua Pelegrino, 314, Jardom do Colégio (Zona Norte);02431140;R2h, R2h-1;12296-22-SP-CCE;Totalmente;286.06
1020.2022/0005592-6;Certificado de Conclusão;deferido;24/06/2022 16:40:10;SQL;044.108.0003-5;RUA MONTEIRO SOARES FILHO, 10;03141010;HIS;12331-22-SP-CCE;Totalmente;606.44
1020.2022/0005907-7;Certificado de Conclusão;deferido;16/05/2022 17:22:16;SQL;067.224.0102-2;Av. Maestro Vila Lobos, 161, Vila Gustavo;02266000;HIS;12398-22-SP-CCE;Totalmente;665.3
1020.2022/0005911-5;Certificado de Conclusão;deferido;22/09/2023 11:41:51;SQL;069.015.0088-2;R   CARANGUEJO, 72, Vila Mazzei ;02307000;HIS;12416-22-SP-CCE;Totalmente;378.46
1020.2022/0006530-1;Certificado de Conclusão;deferido;23/05/2022 15:10:14;SQL;105.030.0041-7;Rua Giovanni Narcisi, 40,42 E 44, Jardim Jaraguá;05159360;R2h, R2h-1;12459-22-SP-CCE;Totalmente;315.58
1020.2022/0006383-0;Certificado de Conclusão;deferido;07/07/2022 14:17:38;SQL;058.003.0007-0;RUA MARIA CARLOTA , 623, VILA ESPERANÇA ;03647000;HIS, R2v;12529-22-SP-CCE;Totalmente;1393.84
1020.2022/0006946-3;Certificado de Conclusão;deferido;23/05/2022 16:12:02;SQL;303.068.0057-5;RUA TECLA, 27, VILA OLINDA;03380260;R2h, R2h-1;12645-22-SP-CCE;Totalmente;261.98
1020.2022/0006934-0;Certificado de Conclusão;deferido;23/05/2022 16:01:19;SQL;146.086.0023-1;Rua Ararandeua, 110, Jardim Brasilia;03583100;R2h, R2h-1;12656-22-SP-CCE;Totalmente;302.77
1020.2022/0007077-1;Certificado de Conclusão;deferido;10/01/2023 16:38:11;SQL;113.349.0008-5;Rua Geraldo Pimentel Dias, 48, Burgo Paulista;03582010;HIS;12693-22-SP-CCE;Totalmente;540.48
1020.2022/0007068-2;Certificado de Conclusão;deferido;23/05/2022 16:37:25;SQL;101.579.0018-4;Rua Etelvina Pedroso de Gouveia, 150, 0, Vila Gomes;05590160;R2h, R2h-1;12697-22-SP-CCE;Totalmente;394.7
1020.2022/0008231-1;Certificado de Conclusão;deferido;01/06/2022 12:22:59;SQL;061.154.0074-0;RUA CUPA , 213, PENHA DE FRANÇA;03640000;R2h, R2h-3;12702-22-SP-CCE;Totalmente;189.42
1020.2022/0007087-9;Certificado de Conclusão;deferido;07/07/2022 16:04:25;SQL;198.114.0013-9;Rua Humberto Bortolo , 49, Bortolândia;02352000;R2h, R2h-1;12837-22-SP-CCE;Totalmente;274.88
1020.2022/0007082-8;Certificado de Conclusão;deferido;18/01/2023 20:07:34;SQL;152.136.0043-2;R DESEM  SILVA PEREIRA, 22, SÃO MATEUS;03970010;HIS;12848-22-SP-CCE;Totalmente;453.01
1020.2022/0007225-1;Certificado de Conclusão;deferido;08/07/2022 18:04:48;Código do Imóvel Rural (número do cadastro no INCRA);;RUA GENERAL DIAS, 263, PENHA DE FRANÇA;03638010;HMP;12898-22-SP-CCE;Totalmente;1933.99
1020.2022/0007224-3;Certificado de Conclusão;deferido;13/09/2022 16:48:14;SQL;056.205.0017-9;RUA JOAQUIM PINTO, 60, 50, 42, 42 FUNDOS, TATUAPÉ;03319110;HIS;12904-22-SP-CCE;Totalmente;4728.87
1020.2022/0007634-6;Certificado de Conclusão;deferido;04/08/2022 15:08:49;SQL;051.149.0002-1;RUA TAPAJI, 239,243 E 247, vila prudente;03207050;R2h, R2h-1;12918-22-SP-CCE;Totalmente;290.48
1020.2022/0007731-8;Certificado de Conclusão;deferido;23/05/2022 17:17:11;SQL;102.074.0011-2;rua princesa maria pia, sn, sao lucas;03274120;R1;12963-22-SP-CCE;Totalmente;341.44
1020.2022/0007840-3;Certificado de Conclusão;deferido;26/05/2022 11:02:44;SQL;051.148.0020-5;Rua Catuaba, 421, Vila Prudente;03208000;R2h, R2h-1;13007-22-SP-CCE;Totalmente;201.14
1020.2022/0009950-8;Certificado de Conclusão;deferido;22/11/2022 15:04:00;SQL;111.381.0007-1;Rua Bei, 39, Vila Paranaguá;03805180;HIS;13062-22-SP-CCE;Totalmente;547.87
1020.2022/0009951-6;Certificado de Conclusão;deferido;22/11/2022 15:02:10;SQL;115.232.0007-2;Rua Ideal, 123, Cidade Popular;08461150;HIS;13064-22-SP-CCE;Totalmente;1018.86
1020.2022/0008307-5;Certificado de Conclusão;deferido;16/08/2022 13:46:54;SQL;041.157.0066-1;AVENIDA PAVÃO, 580, INDIANOPOLIS;04516012;nR1, nR1-3;13172-22-SP-CCE;Totalmente;178.38
1020.2022/0008078-5;Certificado de Conclusão;deferido;16/11/2023 10:56:53;SQL;105.112.0042-1;R   FONTES DA SILVA, 540, JARDIM REGINA;05174260;HIS;13188-22-SP-CCE;Totalmente;332.19
1020.2022/0008084-0;Certificado de Conclusão;deferido;12/07/2022 14:44:43;SQL;069.198.0011-1;RUA DOUTOR NATALINO RIGHETO , 425, TUCURUVI;02303130;HIS;13228-22-SP-CCE;Totalmente;492.65
1020.2022/0008083-1;Certificado de Conclusão;deferido;14/12/2022 20:11:43;SQL;067.108.0030-1;RUA FILADELFO GOUVEIA NETO, 92, 94, VILA CONSTANÇA;02256090;HIS;13231-22-SP-CCE;Totalmente;943.6
1020.2022/0008338-5;Certificado de Conclusão;deferido;14/07/2022 11:51:17;SQL;072.065.0197-4;RUA SANTO EGIDIO, 323, CHORA MENINO;02461010;HIS;13388-22-SP-CCE;Totalmente;649.55
1020.2022/0008749-6;Certificado de Conclusão;deferido;26/05/2022 10:03:37;SQL;105.039.0025-6;RUA HORACIO ROMEU, 252, JARDIM MARISTELA;05159300;R2h, R2h-1;13431-22-SP-CCE;Totalmente;187.02
1020.2022/0008524-8;Certificado de Conclusão;deferido;18/10/2022 15:46:55;SQL;060.169.0003-6;RUA DONA VICENTINA ALEGRETTI , 41, PENHA;03610030;HIS;13465-22-SP-CCE;Totalmente;697.13
1020.2022/0008523-0;Certificado de Conclusão;deferido;24/10/2022 17:33:48;SQL;110.342.0016-9;RUA PINHEIRO DE ULHOA CINTRA , 325, JARDIM POPULAR ;03673000;HMP;13488-22-SP-CCE;Totalmente;279.65
1020.2022/0008968-5;Certificado de Conclusão;deferido;15/07/2022 15:08:32;SQL;058.177.0057-3;RUA ITUETA, 24, CIDADE PATRIARCA;03544030;HIS;13567-22-SP-CCE;Totalmente;274.24
1020.2022/0009119-1;Certificado de Conclusão;deferido;01/09/2022 12:35:16;SQL;162.079.0024-2;Rua Francisco Credentino, 104, Jardim Satelite;04815040;R2h, R2h-1;13709-22-SP-CCE;Totalmente;235.08
1020.2022/0009206-6;Certificado de Conclusão;deferido;27/07/2022 17:28:19;SQL;152.116.0077-1;Rua Manuel Quirino de Mattos , 1809, jardim sapopemba;03969000;R2h, R2h-1;13746-22-SP-CCE;Totalmente;381.41
1020.2022/0009949-4;Certificado de Conclusão;deferido;11/01/2023 18:56:35;SQL;058.203.0024-6;AV DR  IVAN MAIA DE VASCONCELOS, 20, JARDIM TRIANA;03552130;HIS;13798-22-SP-CCE;Totalmente;511.12
1020.2022/0009058-6;Certificado de Conclusão;deferido;17/11/2022 20:08:52;SQL;044.108.0045-0;R   MANAIAS, 105, PARQUE DA VILA PRUDENTE;03140040;HIS;13807-22-SP-CCE;Totalmente;572.1
1020.2022/0009222-8;Certificado de Conclusão;deferido;07/11/2022 20:34:53;SQL;118.287.0003-6;r. dr. sales gomes junior, 308, VILA PRUDENTE;03264030;HIS;13846-22-SP-CCE;Totalmente;630.13
1020.2022/0009228-7;Certificado de Conclusão;deferido;12/12/2022 19:38:41;SQL;102.032.0014-3;R   BUENOPOLIS, 331, BAIRRO ÁGUA RASA;03161010;HIS;13893-22-SP-CCE;Totalmente;262.6
1020.2022/0009481-6;Certificado de Conclusão;deferido;10/10/2022 20:40:39;SQL;067.416.0018-3;avenida Francisco Rodrigues, 626;02259001;HIS;13947-22-SP-CCE;Totalmente;481.11
1020.2022/0009700-9;Certificado de Conclusão;deferido;03/08/2022 12:49:32;SQL;071.275.0015-0;rua amelia almeida lucas, 64, nº. 60 , nº. 68, jd imirim;02472170;R2h, R2h-1;14060-22-SP-CCE;Totalmente;383.7
1020.2022/0009540-5;Certificado de Conclusão;deferido;24/06/2022 13:36:13;SQL;113.152.0010-3;rua fernandes pereira, 306, vila santa teresa;03565000;HIS;14177-22-SP-CCE;Totalmente;1563.88
1020.2022/0010160-0;Certificado de Conclusão;deferido;27/06/2022 14:41:44;SQL;306.003.0043-6;Rua Bernardino de Sena, 104, Vila Ester;02452050;R2h, R2h-1;14324-22-SP-CCE;Totalmente;314.4
1020.2022/0009862-5;Certificado de Conclusão;deferido;26/01/2023 18:41:37;SQL;115.111.0084-1;R ENG  ROMEU BELLUOMINI, 309, JD HELENA;08420270;HIS;14343-22-SP-CCE;Totalmente;725.31
1020.2022/0010300-9;Certificado de Conclusão;deferido;16/08/2022 16:41:39;SQL;146.013.0006-0;Rua Canhamo do Canada, 220, 224 e 228 ( numeração concedida), Jardim Fernandades;03580010;R2h, R2h-1;14410-22-SP-CCE;Totalmente;272.08
1020.2022/0010033-6;Certificado de Conclusão;deferido;13/01/2023 12:36:39;SQL;067.107.0014-3;R   JOAO DE LEDESMA, 177, Vila Constança;02271090;HIS;14422-22-SP-CCE;Totalmente;935.08
1020.2022/0010309-2;Certificado de Conclusão;deferido;09/08/2022 12:17:17;SQL, SQL, SQL;058.020.0052-1, 058.020.0059-7, 058.020.0060-0;Rua 19 de Maio, 50, Penha de França, Rua 19 de Maio, 40, Penha de França, Rua 19 de Maio, 34, Penha de França;03648080, 03648080, 03648080;R2h, R2h-1;14487-22-SP-CCE;Totalmente;801.85
1020.2022/0010306-8;Certificado de Conclusão;deferido;15/06/2022 11:41:17;SQL;152.106.0022-9;rua benedito rosa, 81, jd sapopemba;03975060;R2h, R2h-1;14502-22-SP-CCE;Totalmente;241.72
1020.2022/0010419-6;Certificado de Conclusão;deferido;22/06/2022 13:11:55;SQL;090.136.0014-1;RUA UNA DO PRELADO , 296, CHACARA CAMPO GRANDE;04691090;R2h, R2h-1;14516-22-SP-CCE;Totalmente;336
1020.2022/0010491-9;Certificado de Conclusão;deferido;12/05/2023 16:55:45;SQL;083.095.0041-6;Av. Dra Ruth Cardoso, 6941, Pinheiros ;05477000;nR2, nR2-7;14532-22-SP-CCE;Totalmente;2.08
1020.2022/0010503-6;Certificado de Conclusão;deferido;25/07/2022 16:06:32;SQL, SQL, SQL, SQL;089.080.0010-0, 089.080.0011-9, 089.080.0012-7, 089.080.0009-7;RUA PALESTINA, 171, VILA MASCOTE, RUA PALESTINA, 157, VILA MASCOTE, RUA PALESTINA, 147, VILA MASCOTE, RUA PALACETE DAS ÁGUIAS, 829, VILA MASCOTE;04362030, 04362030, 04362030, 04635023;nR2, nR2-3;14573-22-SP-CCE;Totalmente;2876.59
1020.2022/0010666-0;Certificado de Conclusão;deferido;12/07/2022 09:46:12;SQL, SQL, SQL, SQL, SQL, SQL;143.087.0004-2, 143.087.0012-3, 143.087.0003-4, 143.087.0005-0, 143.087.0006-9, 143.087.0007-7;AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA, AV. JEAN KHOURY FARAH, S/N, N/A, ITAQUERA;08295015, 08295015, 08295015, 08295015, 08295015, 08295015;nR3, nR3-6;14649-22-SP-CCE;Totalmente;44980.27
1020.2022/0010597-4;Certificado de Conclusão;deferido;09/11/2022 13:51:55;SQL;055.393.0012-2;R  DO CORREGO, 83, VILA CARRAO;03421020;HIS;14824-22-SP-CCE;Totalmente;463.35
1020.2022/0010803-5;Certificado de Conclusão;deferido;27/10/2022 14:30:54;SQL;058.023.0024-8;RUA OTILIA, 720, VILA MATILDE;03649000;HMP;14940-22-SP-CCE;Totalmente;759.64
1020.2022/0011056-0;Certificado de Conclusão;deferido;13/01/2023 12:34:56;SQL;066.320.0019-3;R   ASTECAS, 110, Jardim Modelo;02262040;HIS;14945-22-SP-CCE;Totalmente;485.97
1020.2022/0010795-0;Certificado de Conclusão;deferido;24/06/2022 13:35:04;SQL;065.034.0018-7;RUA LUIS PEDROSO, 142, JARDIM JAPÃO;02132110;HIS;15013-22-SP-CCE;Totalmente;1113.26
1020.2022/0011801-4;Certificado de Conclusão;deferido;06/03/2023 13:42:32;SQL, SQL, SQL;169.225.0054-6, 169.225.0002-3, 169.225.0001-5;RUA OLAVO LEITE, 140, VILA ANDRADE, RUA OLAVO LEITE, 140, VILA ANDRADE, RUA OLAVO LEITE, 140, VILA ANDRADE;05718320, 05718320, 05718320;nR2, nR2-6;15073-22-SP-CCE;Totalmente;650.69
1020.2022/0011214-8;Certificado de Conclusão;deferido;06/04/2023 15:12:59;SQL;030.058.0013-1;RUA BOM SUCESSO, S/N, TATUAPE;03305000;nR1, nR1-3;15138-22-SP-CCE;Totalmente;642.06
1020.2022/0011420-5;Certificado de Conclusão;deferido;06/10/2022 12:20:38;SQL;055.050.0027-4;Rua Rogério Giorgi, 1229, 1237, Vila Carrão;09070250;R2h, R2h-1;15191-22-SP-CCE;Totalmente;310.97
1020.2022/0011732-8;Certificado de Conclusão;deferido;25/08/2022 11:42:21;SQL, SQL;054.101.0034-4, 054.101.0020-4;RUA MONTE SERRAT, S/N, TATUAPÉ, RUA MONTE SERRAT, 1500, TATUAPÉ;03312001, 03312001;nR2, nR2-3;15207-22-SP-CCE;Totalmente;525.76
1020.2022/0011143-5;Certificado de Conclusão;deferido;12/08/2022 11:11:02;SQL, SQL;111.448.0026-8, 111.448.0027-6;Rua Terra Branca, 44, Ermelino Matarazzo, Rua Terra Branca, 52, Ermelino Matarazzo;03808160, 03808160;HMP;15225-22-SP-CCE;Totalmente;1246.02
1020.2022/0011239-3;Certificado de Conclusão;deferido;08/09/2022 13:00:44;SQL;067.086.0054-4;RUA ALVARES AFONSO, 511, PARQUE VITORIA;02268060;HIS;15335-22-SP-CCE;Totalmente;817.65
1020.2022/0011527-9;Certificado de Conclusão;deferido;08/09/2022 12:30:31;SQL;113.523.0018-3;RUA JOSE TEIXEIRA DA SILVA , 177, VILA SANTA LUZIA ;03694140;R2h, R2h-1;15340-22-SP-CCE;Totalmente;230.22
1020.2022/0011523-6;Certificado de Conclusão;deferido;03/08/2022 14:49:56;SQL;120.128.0007-5;Rua Geraldo Martins Santana, S/N, Jardim Cupecê;04658280;R2h, R2h-1;15356-22-SP-CCE;Totalmente;323.02
1020.2022/0011240-7;Certificado de Conclusão;deferido;18/01/2023 15:40:03;SQL;067.190.0024-1;AV MAEST  VILLA-LOBOS, 409, PARQUE VITÓRIA;02266000;HIS, HMP;15361-22-SP-CCE;Totalmente;547.03
1020.2022/0011332-2;Certificado de Conclusão;deferido;31/08/2022 17:29:43;SQL;049.440.0028-3;RUA PADRE MÁRIO FERNANDEZ 47, 47, VILA MORAES ;04170010;HIS;15397-22-SP-CCE;Totalmente;501.7
1020.2022/0011493-0;Certificado de Conclusão;deferido;22/12/2022 18:00:50;SQL;067.298.0027-5;R ROQUE DE PAULA MONTEIRO,  31 , 31 FDS, JAÇANÃ;02272000;HIS;15539-22-SP-CCE;Totalmente;1288.5
1020.2022/0011441-8;Certificado de Conclusão;deferido;27/10/2022 16:26:41;SQL;199.016.0010-2;Rua Urbano da Silva, 34, Vila santa Edwiges;05115050;HIS;15554-22-SP-CCE;Totalmente;1380.73
1020.2022/0012386-7;Certificado de Conclusão;deferido;13/10/2022 11:16:23;SQL;049.074.0028-4;RUA VITOR EMANUEL, 130, JARDIM VERGUEIRO;04174000;R2h, R2h-1;15577-22-SP-CCE;Totalmente;231.32
1020.2022/0011841-3;Certificado de Conclusão;deferido;06/09/2022 19:07:58;SQL;078.184.0051-6;RUA SOLDADO JOÃO DE OLIVEIRA, 373, PIRITUBA;02840090;R2h, R2h-1;15606-22-SP-CCE;Totalmente;504.19
1020.2022/0011687-9;Certificado de Conclusão;deferido;17/01/2023 12:53:55;SQL;142.151.0005-3;R   GUAPIRONGA, 250, CIDADE A.E, CARVALHO ;08220290;HIS;15714-22-SP-CCE;Totalmente;789.27
1020.2022/0013074-0;Certificado de Conclusão;deferido;26/08/2022 13:38:48;SQL;118.335.0009-0;RUA JOANIDIA SODRE, 261, JARDIM INDEPENDENCIA;03222110;R2h, R2h-1;15725-22-SP-CCE;Totalmente;361.13
1020.2022/0012330-1;Certificado de Conclusão;deferido;02/08/2022 14:35:49;SQL;036.010.0297-7;AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE, 711 E 731 / SN E 157;04507000;nR3, nR3-9;16020-22-SP-CCE;Totalmente;9380.33
1020.2022/0012075-2;Certificado de Conclusão;deferido;18/10/2022 19:25:37;SQL;071.092.0114-7;TRAVESSA PRECIOSA, S/N, LAUZANE PAULISTA;02441105;HIS;16029-22-SP-CCE;Totalmente;691.71
1020.2022/0012070-1;Certificado de Conclusão;deferido;29/11/2022 14:30:34;SQL;064.155.0078-3;R   MUSSUMES, 576, VILA MARIA ALTA;02130070;HIS;16046-22-SP-CCE;Totalmente;622.5
1020.2022/0012074-4;Certificado de Conclusão;deferido;08/09/2022 11:02:14;SQL;068.541.0038-0;RUA BORGES LADARIO, 36, PARADA INGLESA;02242040;HIS;16052-22-SP-CCE;Totalmente;671.06
1020.2022/0012328-0;Certificado de Conclusão;deferido;20/03/2023 16:56:27;SQL;078.030.0042-8;José Amaro Peçanha, 278, Lote 33 da Quadra 84, Parque São Domingos;05126150;R2h, R2h-1;16085-22-SP-CCE;Totalmente;451.17
1020.2022/0012481-2;Certificado de Conclusão;deferido;10/10/2022 12:53:51;SQL;118.185.0004-2;RUA BARLAVENTO, 25, PARQUE SÃO LUCAS;03265010;R2h, R2h-1;16097-22-SP-CCE;Totalmente;210.7
1020.2022/0012597-5;Certificado de Conclusão;deferido;26/10/2022 16:12:13;SQL;118.353.0033-1;RUA ARIMA, 85, JARDIM INDEPENDÊNCIA;03222070;R2h, R2h-1;16190-22-SP-CCE;Totalmente;170.3
1020.2022/0012185-6;Certificado de Conclusão;deferido;10/11/2022 16:02:29;SQL;100.096.0023-9;R   CAVOUR, 968, VILA PRUDENTE;03136010;HIS;16195-22-SP-CCE;Totalmente;699.15
1020.2022/0012186-4;Certificado de Conclusão;deferido;30/09/2022 14:25:39;SQL;100.032.0045-1;Rua Falchi Gianini, 476;03136040;HIS;16214-22-SP-CCE;Totalmente;311.55
1020.2022/0012829-0;Certificado de Conclusão;deferido;06/10/2022 12:31:18;SQL;114.174.0020-9;Rua Acaiaca, 366, Itaquera;08285020;R2h, R2h-1;16217-22-SP-CCE;Totalmente;249.66
1020.2022/0012508-8;Certificado de Conclusão;deferido;25/11/2022 20:53:47;SQL;118.189.0025-3;Rua Dos Aires, 96 e 98, Vila São Pedro;03265070;HIS;16256-22-SP-CCE;Totalmente;542.65
1020.2022/0012505-3;Certificado de Conclusão;deferido;23/09/2022 09:38:22;SQL;118.233.0002-1;R   COSTA BARROS, 1295, vila prudente;03210001;HIS;16257-22-SP-CCE;Totalmente;651.57
1020.2022/0012756-0;Certificado de Conclusão;deferido;13/10/2022 11:08:37;SQL;076.302.0012-9;rua miguel bernal, 72, limão;02723080;R2h, R2h-1;16258-22-SP-CCE;Totalmente;366.96
