sql;n_processo;n_protocolo;assunto;situacao;competencia;unidade_administrativa;sq
035.046.0039-1;2013-0.038.553-3;1665-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0040-3;2013-0.310.018-1;16464-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0040-3;2013-0.310.018-1;16464-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0040-3;2013-0.038.553-3;1665-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0040-3;2013-0.038.553-3;1665-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0041-1;2013-0.310.018-1;16464-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0041-1;2013-0.310.018-1;16464-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0041-1;2013-0.038.553-3;1665-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0041-1;2013-0.038.553-3;1665-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.064.0005-3;2013-0.105.742-4;3776-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.064
035.064.0005-3;2013-0.105.742-4;3776-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.064
035.065.0024-4;2013-0.255.492-8;17424-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0024-4;2013-0.255.492-8;17424-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0024-4;2013-0.224.905-0;6221-13;Alvará de Desdobro de Lote;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0024-4;2013-0.209.946-5;14294-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0024-4;2013-0.209.946-5;14294-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0024-4;2013-0.224.905-0;6221-13;Alvará de Desdobro de Lote;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0024-4;2013-0.255.492-8;17424-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.077.0061-1;2013-0.192.607-4;12926-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.077
035.077.0061-1;2013-0.210.006-4;14193-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.077
035.077.0061-1;2013-0.210.006-4;14193-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.077
035.077.0061-1;2013-0.192.607-4;12926-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.077
035.078.0033-0;2013-0.121.611-5;7976-13;Alvará de Aprovação de Reforma;Processo Físico;SMUL;COMIN;035.078
035.078.0033-0;2013-0.133.512-2;8506-13;Alvará de Execução de Reforma;Indeferido;SMUL;COMIN;035.078
035.078.0033-0;2013-0.121.611-5;7976-13;Alvará de Aprovação de Reforma;Processo Físico;SMUL;COMIN;035.078
035.078.0033-0;2013-0.133.512-2;8506-13;Alvará de Execução de Reforma;Indeferido;SMUL;COMIN;035.078
040.005.0042-2;2013-0.261.626-5;17647-13;Alvará de Desdobro de Lote;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.005
040.005.0042-2;2013-0.261.626-5;17647-13;Alvará de Desdobro de Lote;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.005
040.022.0053-1;2013-0.141.213-5;8910-13;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.022
040.022.0053-1;2013-0.141.213-5;8910-13;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.022
040.034.0013-5;2013-0.178.588-8;11022-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0013-5;2013-0.178.588-8;11022-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0013-5;2013-0.159.029-7;8589-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0013-5;2013-0.178.588-8;11022-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0013-5;2013-0.159.029-7;8589-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0026-7;2013-0.178.588-8;11022-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0026-7;2013-0.178.588-8;11022-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0026-7;2013-0.159.029-7;8589-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0026-7;2013-0.178.588-8;11022-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0026-7;2013-0.159.029-7;8589-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.035.0018-0;2013-0.339.536-0;23355-13;Alvará de Execução de Reforma;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.035
040.035.0018-0;2013-0.339.536-0;23355-13;Alvará de Execução de Reforma;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.035
040.035.0018-0;2013-0.310.028-9;22039-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.035
040.035.0018-0;2013-0.339.536-0;23355-13;Alvará de Execução de Reforma;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.035
040.035.0018-0;2013-0.310.028-9;22039-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.035
040.062.0004-8;2013-0.342.165-4;25155-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.062
040.062.0004-8;2013-0.334.523-0;21338-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.062
040.062.0004-8;2013-0.342.165-4;25155-13;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.062
040.062.0004-8;2013-0.334.523-0;21338-13;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.062
040.074.0021-0;2013-0.336.434-0;24606-13;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.074
040.074.0021-0;2013-0.228.886-1;14948-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.074
040.074.0021-0;2013-0.336.434-0;24606-13;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.074
040.074.0021-0;2013-0.336.434-0;24606-13;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.074
040.074.0021-0;2013-0.228.886-1;14948-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.074
040.145.0027-6;2013-0.109.526-1;6708-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.145
040.145.0027-6;2013-0.119.120-1;7718-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.145
040.145.0027-6;2013-0.109.526-1;6708-13;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.145
040.145.0027-6;2013-0.119.120-1;7718-13;Alvará de Execução de Reforma;Em Análise;SMPR;Prefeitura Regional Ipiranga;040.145
040.199.0067-1;2013-0.261.742-3;18107-13;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.199
040.199.0067-1;2013-0.261.742-3;18107-13;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.199
040.211.0060-1;2013-0.086.479-2;4066-13;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.211
040.211.0060-1;2013-0.086.479-2;4066-13;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.211
035.030.0011-9;2013-0.046.916-8;23558-14;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0011-9;2013-0.046.916-8;23558-14;Alvará de Aprovação de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0013-5;2014-0.355.074-0;36523-14;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0013-5;2014-0.355.074-0;36523-14;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0013-5;2014-0.360.316-9;37742-14;Alvará de Execução de Edificação Nova;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0013-5;2014-0.360.316-9;37742-14;Alvará de Execução de Edificação Nova;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0013-5;2014-0.360.316-9;37742-14;Alvará de Execução de Edificação Nova;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0014-3;2014-0.355.074-0;36523-14;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0014-3;2014-0.355.074-0;36523-14;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0014-3;2014-0.360.316-9;37742-14;Alvará de Execução de Edificação Nova;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0014-3;2014-0.360.316-9;37742-14;Alvará de Execução de Edificação Nova;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0014-3;2014-0.360.316-9;37742-14;Alvará de Execução de Edificação Nova;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.046.0042-1;2014-0.306.703-8;30387-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0042-1;2014-0.306.703-8;30387-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0045-4;2014-0.306.721-6;30384-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0045-4;2014-0.306.721-6;30384-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0046-2;2014-0.306.702-0;30383-14;Alvará de Execução de Demolição;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0046-2;2014-0.306.702-0;30383-14;Alvará de Execução de Demolição;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0047-0;2014-0.306.728-3;30381-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0047-0;2014-0.306.728-3;30381-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0048-9;2014-0.306.707-0;30374-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0048-9;2014-0.306.707-0;30374-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0049-7;2014-0.306.723-2;30367-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0049-7;2014-0.306.723-2;30367-14;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.065.0024-4;2013-0.224.905-0;19848-14;Alvará de Desdobro de Lote;Cancelado;;;035.065
035.065.0024-4;2014-0.228.579-1;22504-14;Alvará de Desdobro de Lote;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0024-4;2014-0.228.579-1;22504-14;Alvará de Desdobro de Lote;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0041-4;2012-0.327.703-9;16364-14;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0041-4;2012-0.327.703-9;16364-14;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0069-4;2014-0.341.349-1;34856-14;Alvará de Licença para Residências Unifamiliares;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0069-4;2014-0.341.349-1;34856-14;Alvará de Licença para Residências Unifamiliares;Indeferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.065
040.005.0042-2;2013-0.261.626-5;7714-14;Alvará de Desdobro de Lote;Processo Físico;SMUL;PARHIS-3;040.005
040.005.0042-2;2013-0.261.626-5;7714-14;Alvará de Desdobro de Lote;Processo Físico;SMUL;PARHIS-3;040.005
040.022.0053-1;2013-0.141.213-5;25873-14;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.022
040.022.0053-1;2013-0.141.213-5;25873-14;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.022
040.034.0014-3;2014-0.017.999-4;627-14;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0014-3;2014-0.279.081-0;27846-14;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0014-3;2014-0.279.081-0;27846-14;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0014-3;2014-0.279.081-0;27846-14;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0014-3;2014-0.017.999-4;627-14;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.034
040.117.0020-7;2014-0.278.952-8;27235-14;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.117
040.117.0020-7;2014-0.278.952-8;27235-14;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.117
040.142.0022-1;2014-0.271.834-5;26532-14;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.142
040.142.0022-1;2014-0.284.740-4;27699-14;Alvará de Execução de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.142
040.142.0022-1;2014-0.271.834-5;26532-14;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.142
040.142.0022-1;2014-0.284.740-4;27699-14;Alvará de Execução de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.142
040.142.0022-1;2014-0.284.740-4;27699-14;Alvará de Execução de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.142
040.204.0025-3;2014-0.194.487-2;18318-14;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.204
040.204.0025-3;2014-0.194.487-2;18318-14;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.204
040.204.0025-3;2014-0.063.927-8;5245-14;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.204
040.204.0025-3;2014-0.063.927-8;5245-14;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.204
035.030.0013-5;2015-0.117.330-4;15094-15;Alvará de Autorização para avanço de Tapume sobre parte do Passeio Público;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0014-3;2015-0.117.330-4;15094-15;Alvará de Autorização para avanço de Tapume sobre parte do Passeio Público;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0026-7;2015-0.324.266-4;39065-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.030.0026-7;2015-0.324.266-4;39065-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.030
035.046.0039-1;2015-0.069.072-0;8650-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0039-1;2015-0.069.072-0;8650-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0040-3;2015-0.069.072-0;8650-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0040-3;2015-0.069.072-0;8650-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0041-1;2015-0.069.072-0;8650-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0041-1;2015-0.069.072-0;8650-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0046-2;2014-0.306.702-0;1418-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.046.0046-2;2014-0.306.702-0;1418-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.046
035.064.0005-3;2013-0.105.742-4;41285-15;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.064
035.064.0005-3;2015-0.205.536-4;23297-15;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.064
035.064.0005-3;2015-0.205.536-4;23297-15;Alvará de Execução de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.064
035.064.0005-3;2013-0.105.742-4;41285-15;Alvará de Aprovação de Reforma;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;035.064
035.065.0041-4;2012-0.327.703-9;22512-15;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0041-4;2012-0.327.703-9;22512-15;Alvará de Licença para Residências Unifamiliares;Indeferido;SMPR;Prefeitura Regional Ipiranga;035.065
035.065.0129-1;2015-0.232.184-6;29250-15;Alvará de Licença para Residências Unifamiliares;Indeferido;SMUL;GTEL;035.065
035.065.0129-1;2015-0.232.184-6;29250-15;Alvará de Licença para Residências Unifamiliares;Indeferido;SMUL;GTEL;035.065
035.065.0129-1;2015-0.232.184-6;43264-15;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMUL;GTEL;035.065
035.065.0129-1;2015-0.232.184-6;43264-15;Alvará de Licença para Residências Unifamiliares;Deferido - Encerrado;SMUL;GTEL;035.065
040.009.0049-8;2015-0.222.076-4;29181-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.009
040.009.0049-8;2015-0.065.366-3;14775-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.009
040.009.0049-8;2015-0.222.076-4;29181-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.009
040.009.0049-8;2015-0.065.366-3;8099-15;Alvará de Execução de Demolição;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.009
040.009.0049-8;2015-0.065.366-3;14775-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.009
040.009.0049-8;2015-0.065.366-3;8099-15;Alvará de Execução de Demolição;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.009
040.019.0018-1;2015-0.152.234-1;19623-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.019
040.019.0018-1;2015-0.152.234-1;19623-15;Alvará de Execução de Demolição;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.019
040.034.0013-5;2013-0.159.029-7;34265-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0013-5;2013-0.159.029-7;34265-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0026-7;2013-0.159.029-7;34265-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.034.0026-7;2013-0.159.029-7;34265-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.034
040.035.0018-0;2013-0.310.028-9;40955-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.035
040.035.0018-0;2013-0.310.028-9;40955-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.035
040.051.0006-6;2015-0.164.168-5;20739-15;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.051
040.051.0006-6;2015-0.169.859-8;21899-15;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.051
040.051.0006-6;2015-0.164.168-5;20739-15;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.051
040.051.0006-6;2015-0.169.859-8;21899-15;Alvará de Execução de Edificação Nova;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.051
040.062.0004-8;2015-0.029.300-4;3504-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.062
040.062.0004-8;2015-0.029.300-4;3504-15;Certificado de Conclusão;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.062
040.083.0059-7;2015-0.045.642-6;5821-15;Alvará de Aprovação de Reforma;Indeferido;SMUL;COMIN;040.083
040.083.0059-7;2015-0.051.683-6;6814-15;Alvará de Execução de Reforma;Indeferido;SMUL;COMIN;040.083
040.083.0059-7;2015-0.122.987-3;15709-15;Alvará de Autorização para avanço de Tapume sobre parte do Passeio Público;Deferido - Encerrado;SMPR;Prefeitura Regional Ipiranga;040.083
040.083.0059-7;2015-0.051.683-6;6814-15;Alvará de Execução de Reforma;Indeferido;SMUL;COMIN;040.083
040.083.0059-7;2015-0.045.642-6;5821-15;Alvará de Aprovação de Reforma;Indeferido;SMUL;COMIN;040.083
040.097.0001-7;2015-0.182.396-1;22253-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.097
040.097.0001-7;2015-0.182.396-1;22253-15;Alvará de Aprovação de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.097
040.097.0001-7;2015-0.211.397-6;27683-15;Alvará de Execução de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.097
040.097.0001-7;2015-0.211.397-6;27683-15;Alvará de Execução de Reforma;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.097
040.117.0020-7;2014-0.278.952-8;33130-15;Alvará de Aprovação de Edificação Nova;Indeferido;SMPR;Prefeitura Regional Ipiranga;040.117
