veiculo;orgao;unidade;serie;processo;documento;data
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0002427-5;084152307;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0021837-0;084083520;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0000972-0;084089592;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0002724-0;084106524;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0019275-1;084113648;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0009021-7;084114339;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0006505-9;084089733;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0005380-1;084103630;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0021297-5;084090615;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0011157-3;084092114;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0006029-8;084104194;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0006180-2;084150974;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0005750-3;084149900;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0008835-2;084113310;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0002361-9;084153416;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000330-8;084143754;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022579-1;084140178;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0004238-9;084152726;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022201-6;084136663;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0014796-9;084140281;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0018798-9;084143554;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0008684-0;084146577;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0012567-3;084148387;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0009165-7;084147229;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0017512-3;084149566;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0008895-8;084150707;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0013350-1;084146157;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0008661-0;084144104;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000691-9;084143814;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0006378-5;084135442;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0002487-9;084140269;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0017714-2;084132584;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021066-2;084133036;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021211-8;084132839;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000456-8;084081031;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0017134-9;084135369;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0001181-5;084125940;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0009900-3;084083056;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0002020-0;084099463;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0005705-0;084090937;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0007954-0;084098465;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022446-9;084094732;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0003329-7;084103692;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0001112-0;084088512;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0000314-6;084084679;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0011428-0;084089349;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0024332-3;084119525;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0006141-3;084083208;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0017405-4;084080861;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022649-6;084082814;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0002088-1;084104833;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0004799-2;084084571;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0011405-1;084081657;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0013989-3;084080953;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0006239-8;084115136;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0001155-6;084125468;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0002188-8;084124608;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0017301-3;084113029;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0006125-1;084121454;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021942-2;084118839;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0009215-7;084115857;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0007279-2;084128052;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0022652-6;084081954;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0014245-4;084118449;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0009002-2;084114767;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0016578-9;084106714;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0011046-3;084106396;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0003508-0;084143812;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2021/0006362-5;084143727;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0016752-0;084138973;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0017679-0;084117693;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0008474-0;084117005;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0016853-4;084116331;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0000794-8;084133954;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2023/0006752-7;084129900;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Comunique-se;1020.2022/0021270-3;084153516;01/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0021551-6;084177929;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0009695-0;084187578;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0000933-0;084206753;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0020859-5;084225280;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0002270-1;084222794;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003637-0;084202237;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0023591-6;084205351;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0008677-7;084184335;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0007171-0;084170925;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0004413-6;084181502;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0005117-5;084221934;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0014154-7;084187438;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0007173-7;084224617;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0004937-5;084223675;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0000523-8;084207154;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0007291-1;084220028;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0001611-4;084195884;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0004411-0;084181146;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003587-0;084222231;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0021550-8;084177946;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003851-9;084202227;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0009713-2;084170485;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2022/0021741-1;084166181;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0004405-5;084223688;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0003507-2;084190831;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0002878-5;084190805;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0001642-6;084183774;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0005828-5;084183334;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0009703-5;084188002;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho deferido;1020.2023/0008435-9;084188912;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0015685-4;084189205;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0015693-5;084189406;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0004136-6;084179954;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0007874-0;084180559;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0005926-1;084202523;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0000432-0;084191169;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0008059-0;084224039;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2022/0011037-4;084217649;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0007782-0;084171790;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2023/0000042-2;084173172;02/06/2023
Atos do Executivo;Secretaria Municipal de Urbanismo e Licenciamento - Portal;SMUL/Unidade do Aprova Digital;Despacho indeferido;1020.2021/0011362-2;084154474;02/06/2023
