n_processo;data_autuacao;assunto;coord_atual;status;data_extracao
1010.2020/0008689-0;11/11/2020 19:18:37;Certificado de Acessibilidade;CONTRU;indeferido;2024.03.04
1010.2020/0008620-3;11/11/2020 15:07:47;Certificado de Acessibilidade;CONTRU;indeferido;2024.03.04
1010.2020/0008311-5;04/11/2020 11:49:29;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008248-8;03/11/2020 11:18:07;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;2024.03.04
1020.2020/0014480-1;19/11/2020 10:20:39;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008307-7;04/11/2020 11:41:13;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0008304-2;04/11/2020 11:36:02;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido e encerrado;2024.03.04
1010.2020/0008637-8;11/11/2020 15:53:27;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0008244-5;03/11/2020 10:40:11;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2020/0016006-8;29/12/2020 12:09:56;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0016002-5;29/12/2020 11:31:24;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014524-7;23/11/2020 14:22:34;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;em análise;2024.03.04
1010.2020/0008278-0;03/11/2020 16:40:14;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0016004-1;29/12/2020 11:57:43;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008450-2;09/11/2020 10:47:39;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2020/0014938-2;03/12/2020 16:17:51;Certificado de Segurança;CONTRU;indeferido;2024.03.04
1010.2020/0008276-3;03/11/2020 16:35:28;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido;2024.03.04
1010.2020/0008453-7;09/11/2020 12:45:35;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0008310-7;04/11/2020 11:45:43;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;2024.03.04
1010.2020/0008273-9;03/11/2020 16:30:08;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;deferido;2024.03.04
1010.2020/0008314-0;04/11/2020 11:57:37;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido e encerrado;2024.03.04
1010.2020/0008445-6;09/11/2020 09:59:46;Certificado de Acessibilidade;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014937-4;03/12/2020 16:06:52;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0008657-2;11/11/2020 16:45:03;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;2024.03.04
1010.2020/0008446-4;09/11/2020 10:06:11;Certificado de Acessibilidade;CONTRU;deferido;2024.03.04
1010.2020/0008347-6;05/11/2020 11:26:13;Certificado de Acessibilidade;CONTRU;indeferido;2024.03.04
1020.2020/0014494-1;19/11/2020 12:22:40;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008315-8;04/11/2020 11:59:06;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1010.2020/0008360-3;05/11/2020 14:26:38;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1010.2020/0008654-8;11/11/2020 16:32:47;Certificado de Estanqueidade;CONTRU;em análise;2024.03.04
1010.2020/0008357-3;05/11/2020 14:21:12;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;indeferido;2024.03.04
1020.2020/0014305-8;17/11/2020 12:39:32;Alvará de Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;2024.03.04
1020.2020/0014308-2;17/11/2020 12:42:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008277-1;03/11/2020 16:38:18;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido e encerrado;2024.03.04
1010.2020/0008309-3;04/11/2020 11:43:41;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;2024.03.04
1020.2020/0014220-5;13/11/2020 12:09:40;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;2024.03.04
1010.2020/0008492-8;09/11/2020 17:37:37;Alvará de Aprovação de Edificação Nova (HIS/ HMP);RESID;indeferido;2024.03.04
1010.2020/0008361-1;05/11/2020 14:28:44;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;deferido;2024.03.04
1020.2020/0014310-4;17/11/2020 12:45:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1010.2020/0008688-2;11/11/2020 19:15:54;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2020/0014486-0;19/11/2020 10:55:20;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014487-9;19/11/2020 10:57:03;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;2024.03.04
1020.2020/0015736-9;21/12/2020 11:15:24;Certificado de Acessibilidade;CONTRU;indeferido;2024.03.04
1010.2020/0008272-0;03/11/2020 16:27:17;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0008529-0;10/11/2020 11:31:49;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;indeferido e encerrado;2024.03.04
1010.2020/0008358-1;05/11/2020 14:23:14;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;indeferido;2024.03.04
1020.2020/0014488-7;19/11/2020 10:59:56;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014489-5;19/11/2020 11:03:14;Alvará de Instalação de Heliponto;CONTRU;deferido;2024.03.04
1010.2020/0008518-5;10/11/2020 10:54:21;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;deferido;2024.03.04
1020.2020/0014478-0;19/11/2020 10:09:29;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1010.2020/0008381-6;05/11/2020 17:25:44;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2020/0014548-4;25/11/2020 11:16:16;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014490-9;19/11/2020 11:05:00;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;2024.03.04
1020.2020/0014290-6;17/11/2020 10:54:40;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1010.2020/0008679-3;11/11/2020 17:34:03;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;indeferido e encerrado;2024.03.04
1010.2020/0008642-4;11/11/2020 15:59:48;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2020/0014640-5;30/11/2020 16:27:21;Certificado de Segurança;CONTRU;deferido;2024.03.04
1010.2020/0008699-8;12/11/2020 09:59:10;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008643-2;11/11/2020 16:02:41;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008448-0;09/11/2020 10:35:03;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;2024.03.04
1020.2020/0014302-3;17/11/2020 12:35:40;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008449-9;09/11/2020 10:44:35;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;indeferido e encerrado;2024.03.04
1020.2020/0014483-6;19/11/2020 10:29:26;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;2024.03.04
1010.2020/0008674-2;11/11/2020 17:29:38;Certidão de Diretrizes Urbanísticas;PARHIS;deferido;2024.03.04
1020.2020/0014219-1;13/11/2020 12:07:32;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;2024.03.04
1020.2020/0014295-7;17/11/2020 11:16:58;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;2024.03.04
1010.2020/0008678-5;11/11/2020 17:32:41;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);GAB;em análise;2024.03.04
1010.2020/0008676-9;11/11/2020 17:31:16;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2020/0014481-0;19/11/2020 10:24:54;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;2024.03.04
1020.2020/0014297-3;17/11/2020 11:20:52;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1010.2020/0008639-4;11/11/2020 15:54:38;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;deferido;2024.03.04
1010.2020/0008626-2;11/11/2020 15:16:34;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;2024.03.04
1010.2020/0008628-9;11/11/2020 15:16:40;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008644-0;11/11/2020 16:05:17;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;2024.03.04
1020.2020/0014423-2;18/11/2020 16:39:33;Certificado de Acessibilidade;CONTRU;indeferido e encerrado;2024.03.04
1010.2020/0008672-6;11/11/2020 17:26:33;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;2024.03.04
1010.2020/0008635-1;11/11/2020 15:50:48;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1010.2020/0008646-7;11/11/2020 16:11:11;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;2024.03.04
1020.2020/0014941-2;03/12/2020 16:48:29;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;2024.03.04
1010.2020/0008645-9;11/11/2020 16:06:15;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2020/0015994-9;29/12/2020 07:45:56;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014429-1;18/11/2020 17:13:37;Certificado de Segurança;CONTRU;em análise;2024.03.04
1010.2020/0008648-3;11/11/2020 16:16:43;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2020/0014304-0;17/11/2020 12:37:36;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1020.2020/0014318-0;17/11/2020 13:16:12;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2020/0014288-4;17/11/2020 10:45:26;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido e encerrado;2024.03.04
1020.2020/0014208-6;13/11/2020 11:47:57;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2020/0014204-3;13/11/2020 11:44:14;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;2024.03.04
1010.2020/0008671-8;11/11/2020 17:25:21;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;em análise;2024.03.04
1010.2020/0008670-0;11/11/2020 17:23:05;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1020.2020/0014215-9;13/11/2020 12:00:09;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;indeferido;2024.03.04
1010.2020/0008641-6;11/11/2020 15:58:21;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;2024.03.04
1020.2020/0014289-2;17/11/2020 10:51:05;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;deferido;2024.03.04
1020.2020/0014213-2;13/11/2020 11:54:35;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2020/0014202-7;13/11/2020 11:21:10;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014504-2;19/11/2020 16:45:19;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;2024.03.04
1020.2020/0014291-4;17/11/2020 10:55:06;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1020.2020/0014309-0;17/11/2020 12:45:13;Alvará de Aprovação de Edificação Nova (HIS/ HMP);RESID;desistido;2024.03.04
1020.2020/0014307-4;17/11/2020 12:42:15;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
